S.no,Player Name,Runs in Flat Pitches,Runs in Red Soil Pitches,Runs in Black Soil Pitches,Dismissals in Flat Pitches,Dismissals in Red Soil Pitches,Dismissals in Black Soil Pitches
389,J Allenby,1842,0,0,53,0,0
390,MA Carberry,1838,0,0,48,0,0
391,AG Prince,1826,9,0,33,1,0
392,JEC Franklin,1609,225,0,55,8,0
393,L Lee,1828,0,0,32,0,0
394,KJ O'Brien,1827,0,0,45,0,0
395,RR O'Donnell,1823,0,0,45,0,0
396,BJ Haddin,1792,19,10,54,1,1
397,EJ Byrom,1820,0,0,61,0,0
398,CD Fletcher,1817,0,0,34,0,0
399,MP Breetzke,1814,0,0,47,0,0
400,Anamul Haque,1796,0,0,56,0,0
401,LPJ Kimber,1795,0,0,51,0,0
402,HJH Marshall,1795,0,0,50,0,0
403,ST Jayasuriya,1577,211,0,39,2,0
404,RL Chase,1753,34,0,56,1,0
405,SIR Dunkley,1743,21,20,39,3,2
406,AGS Gous,1776,6,0,32,1,0
407,TB Robinson,1779,0,0,43,0,0
408,MD Gunathilaka,1764,3,10,47,1,2
409,D Padikkal,1392,327,48,45,9,2
410,JC Silk,1767,0,0,43,0,0
411,JH Wharton,1764,0,0,38,0,0
412,Saim Ayub,1762,0,0,55,0,0
413,D Brevis,1591,84,86,51,5,3
414,TLW Cooper,1759,0,0,43,0,0
415,Mohammad Yousuf,1758,0,0,37,0,0
416,MGK Burgess,1752,0,0,46,0,0
417,Shafali Verma,1553,103,95,38,6,3
418,Misbah-ul-Haq,1748,0,0,37,0,0
419,A Gardner,1690,57,0,51,4,0
420,GH Worker,1746,0,0,46,0,0
421,WTS Porterfield,1745,0,0,46,0,0
422,B Popli,1741,0,0,28,0,0
423,EJH Eckersley,1735,0,0,58,0,0
424,RR Sarwan,1727,0,0,33,0,0
425,VR Iyer,1370,287,57,32,9,1
426,Haider Ali,1713,0,0,55,0,0
427,PHKD Mendis,1712,0,0,44,0,0
428,Mominul Haque,1710,0,0,50,0,0
429,PA Patel,1047,557,105,44,25,4
430,DR Flynn,1705,0,0,31,0,0
431,GG Wagg,1698,0,0,44,0,0
432,RM Ghosh,1463,228,3,38,8,1
433,NJ Selman,1694,0,0,41,0,0
434,GA Bartlett,1693,0,0,54,0,0
435,P Mustard,1686,0,0,52,0,0
436,J Clark,1682,0,0,54,0,0
437,JA Tattersall,1678,0,0,43,0,0
438,Abdullah Shafique,1671,0,0,41,0,0
439,RI Newton,1668,0,0,39,0,0
440,BBA Geddes,1666,0,0,45,0,0
441,Kashif Ali,1665,0,0,42,0,0
442,HG Kuhn,1661,0,0,41,0,0
443,K Verreynne,1652,0,0,28,0,0
444,GH Dockrell,1651,0,0,52,0,0
445,K Mishara,1643,0,0,26,0,0
446,NA McSweeney,1638,0,0,39,0,0
447,BJ Hodge,1542,95,0,28,2,0
448,CJ Ferguson,1621,12,0,42,1,0
449,Azam Khan,1630,0,0,53,0,0
450,R Ashwin,1187,341,99,49,18,8
451,LU Igalagamage,1621,0,0,25,0,0
452,MJ Richardson,1617,0,0,39,0,0
453,MJ Owen,1616,0,0,48,0,0
454,CR Ervine,1615,0,0,39,0,0
455,L Winfield,1585,30,0,35,2,0
456,CJ Jordan,1607,5,0,54,1,0
457,CS MacLeod,1607,0,0,45,0,0
458,J Overton,1557,27,19,69,3,1
459,CE McConchie,1602,0,0,52,0,0
460,KR Brown,1602,0,0,41,0,0
461,R Parag,1309,221,68,46,10,1
462,OA Shah,1520,76,0,36,1,0
463,DJ Hooda,995,407,192,39,14,6
464,RA Tripathi,1137,260,197,34,9,11
465,LP Goldsworthy,1589,0,0,35,0,0
466,Rahmanullah Gurbaz,1577,8,0,55,1,0
467,P Litchfield,1294,278,0,37,5,0
468,Imad Wasim,1557,0,0,48,0,0
469,TJ Prest,1552,0,0,41,0,0
470,A Symonds,1441,111,0,25,3,0
471,GCH Hill,1551,0,0,38,0,0
472,AE Jones,1476,70,0,45,6,0
473,EJ Pollock,1542,0,0,59,0,0
474,TR Ambrose,1537,0,0,31,0,0
475,J Fraser-McGurk,1533,0,0,50,0,0
476,TA Lammonby,1529,0,0,38,0,0
477,G Stewart,1526,0,0,51,0,0
478,KH Pandya,982,408,135,32,17,5
479,Shadab Khan,1519,0,0,58,0,0
480,RD Berrington,1503,10,0,32,1,0
481,P Simran Singh,1404,106,0,47,1,0
482,C Campher,1510,0,0,46,0,0
483,SP Crook,1508,0,0,38,0,0
484,D Foxcroft,1507,0,0,31,0,0
485,CAK Walton,1499,0,0,42,0,0
486,Iftikhar Ahmed,1496,0,0,44,0,0
487,TK Curran,1463,21,11,67,1,1
488,M Montgomery,1492,0,0,37,0,0
489,DJG Sammy,1477,14,0,63,4,0
490,TT Bresnan,1445,45,0,57,1,0
491,SM Whiteman,1482,0,0,36,0,0
492,H Masakadza,1481,0,0,46,0,0
493,NJ O'Brien,1479,0,0,40,0,0
494,SW Bates,1435,44,0,37,2,0
495,RS Patel,1472,0,0,39,0,0
496,RE van der Merwe,1464,0,0,42,0,1
497,JG Myburgh,1458,0,0,42,0,0
498,R Shepherd,1342,91,24,41,2,1
499,AM Tribe,1443,0,0,20,0,0
500,RK Singh,1238,161,41,27,7,3
